,object,animal,datetime
130,rfid,lychee,2025-04-04 11:34:48.714
131,rfid,lychee,2025-04-04 11:34:48.843
132,rfid,lychee,2025-04-04 11:34:48.964
133,rfid,lychee,2025-04-04 11:34:49.083
134,rfid,lychee,2025-04-04 11:34:49.502
135,rfid,lychee,2025-04-04 11:34:49.824
136,rfid,lychee,2025-04-04 11:34:49.940
137,rfid,lychee,2025-04-04 11:34:50.059
138,rfid,lychee,2025-04-04 11:34:50.279
139,rfid,lychee,2025-04-04 11:34:50.394
140,rfid,lychee,2025-04-04 11:34:50.513
141,rfid,lychee,2025-04-04 11:34:50.632
142,innerIR,-,2025-04-04 11:34:59.274
143,outerIR,-,2025-04-04 11:34:59.504
144,rfid,wolverine,2025-04-04 11:34:59.664
145,rfid,wolverine,2025-04-04 11:34:59.985
146,rfid,wolverine,2025-04-04 11:35:00.107
147,rfid,wolverine,2025-04-04 11:35:00.228
148,rfid,wolverine,2025-04-04 11:35:00.352
149,rfid,wolverine,2025-04-04 11:35:00.473
150,rfid,wolverine,2025-04-04 11:35:00.694
151,rfid,wolverine,2025-04-04 11:35:01.011
152,rfid,wolverine,2025-04-04 11:35:01.133
153,rfid,wolverine,2025-04-04 11:35:01.552
154,rfid,wolverine,2025-04-04 11:35:01.668
155,rfid,wolverine,2025-04-04 11:35:01.787
156,rfid,wolverine,2025-04-04 11:35:02.006
157,rfid,wolverine,2025-04-04 11:35:02.226
158,rfid,wolverine,2025-04-04 11:35:02.346
159,rfid,wolverine,2025-04-04 11:35:02.469
160,innerIR,-,2025-04-04 11:35:08.840
161,outerIR,-,2025-04-04 11:35:09.429
162,rfid,wolverine,2025-04-04 11:35:09.498
163,rfid,wolverine,2025-04-04 11:35:09.617
164,rfid,wolverine,2025-04-04 11:35:09.740
165,innerIR,-,2025-04-04 11:35:10.445
166,outerIR,-,2025-04-04 11:35:16.476
167,rfid,lychee,2025-04-04 11:35:16.670
168,innerIR,-,2025-04-04 11:35:16.709
169,outerIR,-,2025-04-04 11:35:23.734
170,innerIR,-,2025-04-04 11:35:24.177
171,rfid,wolverine,2025-04-04 11:35:24.299
172,innerIR,-,2025-04-04 11:35:25.192
173,outerIR,-,2025-04-04 11:35:31.927
174,innerIR,-,2025-04-04 11:35:32.068
175,rfid,lemon,2025-04-04 11:35:32.231
176,innerIR,-,2025-04-04 11:37:30.817
177,outerIR,-,2025-04-04 11:37:31.057
178,rfid,lychee,2025-04-04 11:37:31.127
179,innerIR,-,2025-04-04 11:37:31.775
180,innerIR,-,2025-04-04 11:37:32.293
181,outerIR,-,2025-04-04 11:38:09.180
182,innerIR,-,2025-04-04 11:38:09.859
183,rfid,lychee,2025-04-04 11:38:09.907
184,rfid,lychee,2025-04-04 11:38:10.026
185,rfid,lychee,2025-04-04 11:38:10.145
186,rfid,lychee,2025-04-04 11:38:10.272
187,rfid,lychee,2025-04-04 11:38:12.694
188,rfid,lychee,2025-04-04 11:38:12.817
189,outerIR,-,2025-04-04 11:38:22.600
190,rfid,lychee,2025-04-04 11:38:22.963
191,innerIR,-,2025-04-04 11:38:22.974
192,rfid,lychee,2025-04-04 11:38:23.078
193,innerIR,-,2025-04-04 11:38:28.701
194,innerIR,-,2025-04-04 11:38:31.720
195,rfid,lychee,2025-04-04 11:38:35.013
196,outerIR,-,2025-04-04 11:38:35.091
197,rfid,lychee,2025-04-04 11:38:35.140
198,rfid,lychee,2025-04-04 11:38:35.263
199,rfid,lychee,2025-04-04 11:38:35.382
200,innerIR,-,2025-04-04 11:38:36.708
201,outerIR,-,2025-04-04 11:38:43.236
202,outerIR,-,2025-04-04 11:38:45.862
203,outerIR,-,2025-04-04 11:38:57.438
204,innerIR,-,2025-04-04 11:38:57.990
205,rfid,lychee,2025-04-04 11:38:58.134
206,innerIR,-,2025-04-04 11:38:58.805
207,innerIR,-,2025-04-04 11:39:18.159
208,outerIR,-,2025-04-04 11:39:18.421
209,rfid,lychee,2025-04-04 11:39:18.484
210,innerIR,-,2025-04-04 11:39:19.937
211,outerIR,-,2025-04-04 11:39:45.804
212,innerIR,-,2025-04-04 11:39:46.025
213,outerIR,-,2025-04-04 11:39:46.443
214,innerIR,-,2025-04-04 11:39:46.556
215,innerIR,-,2025-04-04 11:40:31.160
216,rfid,lychee,2025-04-04 11:40:31.411
217,outerIR,-,2025-04-04 11:40:31.424
218,innerIR,-,2025-04-04 11:40:49.883
219,outerIR,-,2025-04-04 11:40:50.324
220,rfid,lemon,2025-04-04 11:40:50.366
221,rfid,lemon,2025-04-04 11:40:50.584
222,rfid,lemon,2025-04-04 11:40:50.703
223,rfid,lemon,2025-04-04 11:40:50.821
224,innerIR,-,2025-04-04 11:40:51.541
225,outerIR,-,2025-04-04 11:40:54.665
226,outerIR,-,2025-04-04 11:41:38.827
227,innerIR,-,2025-04-04 11:42:34.077
228,outerIR,-,2025-04-04 11:42:34.268
229,rfid,wolverine,2025-04-04 11:42:34.306
230,innerIR,-,2025-04-04 11:42:35.487
231,outerIR,-,2025-04-04 11:42:45.821
232,innerIR,-,2025-04-04 11:42:46.045
233,innerIR,-,2025-04-04 11:42:46.662
234,outerIR,-,2025-04-04 11:42:47.777
235,innerIR,-,2025-04-04 11:42:48.194
236,rfid,wolverine,2025-04-04 11:42:48.448
237,rfid,wolverine,2025-04-04 11:42:48.569
238,rfid,wolverine,2025-04-04 11:42:48.685
239,rfid,wolverine,2025-04-04 11:42:48.920
240,rfid,wolverine,2025-04-04 11:42:49.040
241,rfid,wolverine,2025-04-04 11:42:49.161
242,rfid,wolverine,2025-04-04 11:42:49.379
243,rfid,wolverine,2025-04-04 11:42:49.595
244,rfid,wolverine,2025-04-04 11:42:50.325
245,rfid,wolverine,2025-04-04 11:42:50.450
246,rfid,wolverine,2025-04-04 11:42:50.766
247,rfid,wolverine,2025-04-04 11:42:50.884
248,rfid,wolverine,2025-04-04 11:42:51.005
249,rfid,wolverine,2025-04-04 11:42:51.225
250,rfid,wolverine,2025-04-04 11:42:51.344
251,rfid,wolverine,2025-04-04 11:42:51.568
252,rfid,wolverine,2025-04-04 11:42:51.783
253,rfid,wolverine,2025-04-04 11:42:52.404
254,rfid,wolverine,2025-04-04 11:42:52.533
255,innerIR,-,2025-04-04 11:42:56.026
256,outerIR,-,2025-04-04 11:42:59.089
257,outerIR,-,2025-04-04 11:43:07.073
258,rfid,lemon,2025-04-04 11:43:07.872
259,rfid,lemon,2025-04-04 11:43:07.988
260,rfid,lemon,2025-04-04 11:43:08.213
261,rfid,lemon,2025-04-04 11:43:08.330
262,rfid,lemon,2025-04-04 11:43:08.460
263,rfid,lemon,2025-04-04 11:43:08.579
264,rfid,lemon,2025-04-04 11:43:08.698
265,rfid,lemon,2025-04-04 11:43:08.818
266,rfid,lemon,2025-04-04 11:43:08.938
267,rfid,lemon,2025-04-04 11:43:09.054
268,rfid,lemon,2025-04-04 11:43:09.179
269,rfid,lemon,2025-04-04 11:43:09.602
270,rfid,lemon,2025-04-04 11:43:09.723
271,rfid,lemon,2025-04-04 11:43:09.854
272,rfid,lemon,2025-04-04 11:43:09.975
273,rfid,lemon,2025-04-04 11:43:10.096
274,outerIR,-,2025-04-04 11:43:15.860
275,innerIR,-,2025-04-04 11:43:16.349
276,rfid,lemon,2025-04-04 11:43:16.621
277,rfid,lemon,2025-04-04 11:43:16.743
278,outerIR,-,2025-04-04 11:43:17.265
279,innerIR,-,2025-04-04 11:43:21.142
280,outerIR,-,2025-04-04 11:43:21.377
281,rfid,lemon,2025-04-04 11:43:21.503
282,rfid,lemon,2025-04-04 11:43:21.621
283,rfid,lemon,2025-04-04 11:43:21.742
284,rfid,lemon,2025-04-04 11:43:21.862
285,innerIR,-,2025-04-04 11:43:22.406
286,innerIR,-,2025-04-04 11:43:23.227
287,outerIR,-,2025-04-04 11:44:03.921
288,innerIR,-,2025-04-04 11:44:04.476
289,rfid,lemon,2025-04-04 11:44:04.649
290,rfid,lemon,2025-04-04 11:44:04.869
291,rfid,lemon,2025-04-04 11:44:04.998
292,outerIR,-,2025-04-04 11:44:05.492
293,innerIR,-,2025-04-04 11:44:05.712
294,innerIR,-,2025-04-04 11:45:22.478
295,outerIR,-,2025-04-04 11:45:22.700
296,outerIR,-,2025-04-04 11:45:36.945
297,rfid,wolverine,2025-04-04 11:45:37.852
298,innerIR,-,2025-04-04 11:45:37.962
299,rfid,wolverine,2025-04-04 11:45:37.974
300,rfid,wolverine,2025-04-04 11:45:38.096
301,rfid,wolverine,2025-04-04 11:45:38.215
302,rfid,wolverine,2025-04-04 11:45:38.336
303,rfid,wolverine,2025-04-04 11:45:38.453
304,rfid,wolverine,2025-04-04 11:45:38.577
305,rfid,wolverine,2025-04-04 11:45:38.696
306,rfid,wolverine,2025-04-04 11:45:38.816
307,rfid,wolverine,2025-04-04 11:45:38.937
308,rfid,wolverine,2025-04-04 11:45:39.153
309,rfid,wolverine,2025-04-04 11:45:39.270
310,rfid,wolverine,2025-04-04 11:45:39.398
311,rfid,wolverine,2025-04-04 11:45:39.516
312,rfid,wolverine,2025-04-04 11:45:39.732
313,rfid,wolverine,2025-04-04 11:45:39.846
314,rfid,wolverine,2025-04-04 11:45:39.971
315,rfid,wolverine,2025-04-04 11:45:40.091
316,rfid,wolverine,2025-04-04 11:45:40.215
317,rfid,wolverine,2025-04-04 11:45:40.531
318,outerIR,-,2025-04-04 11:45:43.797
319,innerIR,-,2025-04-04 11:45:44.018
320,innerIR,-,2025-04-04 11:45:44.537
321,innerIR,-,2025-04-04 11:45:44.751
322,innerIR,-,2025-04-04 11:45:50.136
323,innerIR,-,2025-04-04 11:45:51.573
324,innerIR,-,2025-04-04 11:45:52.500
325,innerIR,-,2025-04-04 11:46:04.037
326,innerIR,-,2025-04-04 11:46:05.293
327,outerIR,-,2025-04-04 11:46:05.942
328,rfid,wolverine,2025-04-04 11:46:06.189
329,rfid,wolverine,2025-04-04 11:46:06.305
330,outerIR,-,2025-04-04 11:46:57.360
331,outerIR,-,2025-04-04 11:48:58.771
332,innerIR,-,2025-04-04 11:49:00.288
333,rfid,wolverine,2025-04-04 11:49:00.480
334,rfid,wolverine,2025-04-04 11:49:00.596
335,rfid,wolverine,2025-04-04 11:49:00.720
336,rfid,wolverine,2025-04-04 11:49:00.839
337,rfid,wolverine,2025-04-04 11:49:00.957
338,rfid,wolverine,2025-04-04 11:49:01.080
339,rfid,wolverine,2025-04-04 11:49:01.198
340,rfid,wolverine,2025-04-04 11:49:01.317
341,rfid,wolverine,2025-04-04 11:49:01.443
342,rfid,wolverine,2025-04-04 11:49:01.562
343,rfid,wolverine,2025-04-04 11:49:01.679
344,rfid,wolverine,2025-04-04 11:49:01.797
345,rfid,wolverine,2025-04-04 11:49:01.912
346,rfid,wolverine,2025-04-04 11:49:02.027
347,rfid,wolverine,2025-04-04 11:49:02.148
348,rfid,wolverine,2025-04-04 11:49:02.267
349,rfid,wolverine,2025-04-04 11:49:02.382
350,rfid,wolverine,2025-04-04 11:49:02.497
351,rfid,wolverine,2025-04-04 11:49:02.615
352,rfid,wolverine,2025-04-04 11:49:02.730
353,rfid,wolverine,2025-04-04 11:49:02.844
354,rfid,wolverine,2025-04-04 11:49:02.963
